Crushed Cherries,B,4.0,Cherries plus a few slices of banana. Crushed.,anything really!,"Cherries are not only delicious, they are a potent source of antioxidants and anti-inflammatory compounds which are great for your body. We use beautiful deep-red cherries and add banana to complement the flavour.",,Cherries are a rare natural source of hormone melatonin which can increase your sleep quality,The anti-inflammatory compounds in cherries can help protect your joints,,,"“Cherries, Banana, Sweetcorn, Protein Balls, Muesli, Peanuts, Vanilla Protein Balls, Flaxseed, Barleygrass""",Barleygrass,381.2,90.5,1.8,0.4,11.0,5.9,3.7,6.5,0.1,cherries,chopped banana,,,peanuts,sweetcorn,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,,fibre,healthy_meal,superfood,,Crushed_Cherries_Tailored.jpg,Crushed_Cherries_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Bomb,B,5.0,Q: How many berry types does it take to make a uber-delicious smoothie?   A: 7,anything really!,"Our Berry Bomb is a potent weapon. So tasty it will blow away your taste buds. We take lingonberries from Swedish forests then mix with strawberries, cranberries, blueberries, blackberries, raspberries, goji berries, acai berries. Exploding with nutrients to keep you feeling (and looking awesome)!","Yoggie founder Charlie's favourite. ""Lingonberries are so good for you and my favourite food as a child. I'm half-Swedish and used to pick them in Swedish forests with my Grandmother. We source our lingonberries directly from Sweden and they make this smoothie extra special...""",Berries have the highest concentration of goodness among fruits.,"The superfoods in this smoothie mix are known to help brain function, hormone balance and energy levels",,,"""Bananas, Sweetcorn, Vanilla Protein Balls, Muesli, Strawberries, Blueberries, Cranberries, Raspberries, Blackberries, Protein Balls, Flaxseed, Goji berries, Acai, Walnuts”",Acai berries,599.5,142.0,4.1,1.5,15.4,8.7,2.6,11.0,0.0,strawberries,cranberries,raspberries,blueberries,blackberries,chopped banana,dried goji berries,walnuts,sweetcorn,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,muesli,vanilla protein balls,,healthy_meal,superfood,breakfast,,Berry_Bomb_Tailored.jpg,Berry_Bomb_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Fruit,B,6.0,"Pineapple, mango, kiwi, coconut chunks and a squeeze of lime. Perfect.",gorgeous with a dollop of authentic Greek yoghurt,Boost your energy levels with this succulent combination of coconut chunks and kiwi slices with just the right amount of pineapple and mango to balance the taste. ,,Coconut is full of fibre which keeps you feeling full and can lower cholestrol levels,"Pineapple and kiwi are high in magnesium, selenium and potassium which can help with skin health",,,"“Mangoes, Pineapple, Kiwi fruit, Spinach, Oats, Vanilla Protein Balls, Protein Balls, Coconut, Peanuts, Flaxseed, Barleygrass""",Barleygrass,547.0,130.0,3.9,2.1,12.9,7.0,3.8,9.3,0.1,mango chunks,pineapple,kiwi slices,raw coconut chunks,lime,mint leaves,peanuts,spinach,milled flaxseeds,oats,Protein Balls,Vanilla Protein Balls,,vanilla protein balls,,,healthy_meal,energy_boost,breakfast,,Tropical_Fruit_Tailored.jpg,Tropical_Fruit_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Apple & Grapes,B,7.0,"Green apples, green grapes, spinach, avocado? Greenish.",uber-tasty with water or milk,"This is green. We take apples and mix with grapes, spinach (much nicer than kale). We add sliced avocado as it is full of good fats, our Yoggie Supergreens powder for max nutrients, and our homemade natural muesli for some crunch and sweetness. Plus our Protein Balls of course.",,Grapes are chock full of cancer-fighting polyphenols (antioxidants),"Avocado is rich in monounsaturated fats which help lower cholestrol and blood sugar, keeping you feeling energised through the day",,,"“Apples, Grapes, Spinach, Muesli, Vanilla Protein Balls, Protein Balls, Avocado, Chia, Greens powder, Raisins”",SuperGreens,497.6,117.7,2.8,0.8,15.2,9.5,2.2,8.2,0.0,green apple slices,green grapes,,,avocado,spinach,milled chia seeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,SuperGreens,healthy_meal,energy_boost,breakfast,,Green_Apple_Grapes_Tailored.jpg,Green_Apple_Grapes_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueberries,C,1.0,"Hail, Blueberry. King Of Antioxidant Foods. Now get in the blender.",anything really!,"Blueberries make SCRUMMY smoothies! We tasted 24 types of blueberry from growers around the world to find the Tastiest Blueberry for your smoothie. We throw in a little banana, handful of peanuts, rye flakes, spinach balls, acai berries and Protein Balls for the optimal nutrient profile.",,"Blueberries burst with vitamin C, an essential nutrient for collagen which enhances skin and smoothes wrinkles","Phosphorus, calcium, iron and zinc are prevalent in blueberries and are crucial for healthy bones and joints",,,"“Blueberries, Vanilla Protein Balls, Spinach, Muesli, Peanuts, Chia, Greens powder, Protein Balls”",SuperGreens,863.3,204.8,6.5,2.2,14.3,7.2,2.9,22.7,0.0,blueberries,,,,peanuts,spinach,milled chia seeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,SuperGreens,healthy_meal,superfood,breakfast,lo_carb,Blueberry_Tailored.jpg,Blueberry_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Fruit Salad,C,2.0,"Strawberries, apples, grapes, raspberries, pomegranate... Oh, what a treat!",delicious with water (tip: we blend with fizzy lemonande and it's unworldly good - make sure you let out the pressure!),"A British Summer pud given an uber-tasty Yoggie Makeover. Our Smoothie Experts (""Smexperts""?) took the classic ingredients and added black grapes for antioxidant boost, pomegranate for crunch, homemade muesli for texture, protein balls, peanuts for taste and good fats and sweetcorn to round off. Yummy scrummy.",,"Black grapes contain vitamins C, K and A which help reinforce your immune system",Pomegranate contains powerful anti-infammatories which improve gut health and prevent oxidative stress on your body,"Sweetcorn is loaded with lutein and zeaxanthin, two phytochemicals that promote healthy vision.",,"“Vanilla Protein Balls, Sweetcorn, Strawberries, Grapes, Raspberries, Peanuts, Muesli, Apples, Pomegranate, Chia, Greens powder, Protein Balls”",SuperGreens,887.7,210.6,7.0,2.3,13.0,7.4,2.4,24.3,0.0,raspberries,strawberries,green apple slices,red grapes,pomegranate,peanuts,sweetcorn,milled chia seeds,muesli,Protein Balls,Vanilla Protein Balls,,,muesli,vanilla protein balls,SuperGreens,healthy_meal,energy_boost,breakfast,lo_carb,Summer_Fruit_Salad_Tailored.jpg,Summer_Fruit_Salad_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushed Cherries,C,3.0,Cherries plus a few slices of banana. Crushed.,anything really!,"Cherries are not only delicious, they are a potent source of antioxidants and anti-inflammatory compounds which are great for your body. We use beautiful deep-red cherries and add banana to round out the flavour.",,Cherries are a rare natural source of hormone melatonin which can increase your sleep quality,The anti-inflammatory compounds in cherries can help protect your joints.,,,"“Cherries, Banana, Sweetcorn, Vanilla Protein Balls, Peanuts, Muesli, Flaxseed, Barleygrass, Protein Balls”",Barleygrass,494.9,117.4,2.3,1.0,9.3,6.1,3.7,13.7,0.1,cherries,chopped banana,,,peanuts,sweetcorn,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,,fibre,healthy_meal,superfood,,Crushed_Cherries_Tailored.jpg,Crushed_Cherries_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Fruit,C,4.0,"Pineapple, mango, kiwi, coconut chunks and a squeeze of lime. Perfect.",gorgeous with a dollop of authentic Greek yoghurt,Boost your energy levels with this succulent combination of coconut chunks and kiwi slices with just the right amount of pineapple and mango to balance the taste. ,,Coconut is full of fibre which keeps you feeling full and can lower cholestrol levels,"Pineapple and kiwi are high in magnesium, selenium and potassium which can help with skin health",,,"“Mangoes, Spinach, Pineapple, Kiwi fruit, Vanilla Protein Balls, Coconut, Peanuts, Oats, Flaxseed, Barleygrass, Protein Balls”",Barleygrass,573.2,136.1,3.9,2.4,10.0,7.8,3.9,13.9,0.1,mango chunks,pineapple,kiwi slices,raw coconut chunks,lime,mint leaves,peanuts,spinach,milled flaxseeds,oats,Protein Balls,Vanilla Protein Balls,,vanilla protein balls,,,healthy_meal,energy_boost,breakfast,lo_carb,Tropical_Fruit_Tailored.jpg,Tropical_Fruit_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacao & Vanilla,C,5.0,Organic raw cacao nibs and vanilla pods provide the taste montage for this delicious ultra low-carb smoothie,"splash of milk (including soya milk, almond milk etc.)","This smoothie is just ridiculously tasty. Plus naturally chocolatey and hyper-dense in nutrients. How could it be better? By being high protein and low-carb. Oh, it is.",,Raw cacao nibs contain high amounts of fibre which can make you feel fuller and boost fat-loss,Cacao also contain magnesium which improves muscle structure and nerve function,"Vanilla pods contain calcium which helps reduce cortisol, a hormone associated with high stress levels",,"“Chocolate Protein Balls, Carrots, Bananas, Cacao, Brazil nuts, Granola, Sunflower seeds, Greens powder, Vanilla pod (whole), Protein Balls”",Cacao nibs,1189.8,283.3,12.8,6.2,13.4,8.8,3.2,28.8,0.0,cacao nibs,vanilla pods,chopped banana,,crushed brazil nuts,carrots,sunflower seeds,granola,Protein Balls,Chocolate Protein Balls,,,,granola,vanilla protein balls,,healthy_meal,superfood,breakfast,lo_carb,Cacao_Vanilla_Tailored.jpg,Cacao_Vanilla_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raspberries,C,6.0,Tasty raspberries with mango chunks plus avocado slices and natural granola,anything really!,"We take a load of raspberries, throw in a few mango chunks then Yoggify with special extras such as homemade granola for crunch, milled sunflower seeds for Omega 3 and a sprinkling of acai berries for a sweeeet immune-boost. Plus our Protein Balls of course.",,Raspberries are among the top sources of cancer-fighting anthocyanins,Rasperries contain manganese which helps elevate metabolism and burning fat,,,"“Vanilla Protein Balls, Raspberries, Carrots, Mangoes, Avocado, Oats, Chia, Greens powder, Protein Balls”",SuperGreens,727.2,172.1,4.5,1.9,11.0,7.1,2.1,21.6,0.0,raspberries,mango chunks,avocado,,carrots,milled chia seeds,oats,Protein Balls,Vanilla Protein Balls,,,,,vanilla protein balls,SuperGreens,,healthy_meal,superfood,breakfast,lo_carb,Raspberry_Tailored.jpg,Raspberry_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
